State,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Percent,Absolute,Percent,Absolute
Alabama,939,903.3,887.1,912.7,858.3,865.5,850,812.2,795.3,793.3,797.5,757.5,678.1,732.2,705.6,664.3,645.6,662.4,637.2,605.8,568.2,571.9,-0.39,-367,0.01,4
Alaska,995.2,1048.9,1073.6,1123.6,1061.6,1018.2,1037.7,1071.5,1070.3,946.9,865.3,778.8,680.5,719.3,710.4,663.4,661.2,661.1,675.1,664.9,656.2,663,-0.33,-332,0.01,7
Arizona,425.7,419.1,407,415.7,417.3,401.9,386,399.1,369.3,361.8,358.9,369.9,367.6,371.8,356.5,342.1,354.1,342.2,325.9,302.3,289,290,-0.32,-136,0,1
Arkansas,720.6,720.1,708.5,707,700.3,662.4,645,619,576.7,581.5,598.6,608.6,602,623.9,623.9,610,615.3,614.3,522.4,547.2,560.4,609.3,-0.15,-111,0.09,49
California,251.3,242.9,227.9,220.4,223.9,217.7,202,203.2,192.8,189.3,188.8,180.5,181.6,176.2,166.7,164.7,160.3,152.7,148.5,144.4,139,133.4,-0.47,-118,-0.04,-6
Colorado,411,388,369.2,365.1,394,385.6,380.5,389.2,382.4,378.3,376.2,364.4,356.2,362.3,343.3,333.2,324.7,312.3,294.4,276.8,267.3,262.1,-0.36,-149,-0.02,-5
Connecticut,224.2,206.1,205.9,198.5,189.4,182.2,192.5,188.2,181.9,163.2,154.1,145,144.9,146.5,144,140,144.7,147.8,150.2,141.1,138.6,151.7,-0.32,-73,0.1,13
Delaware,340,300.9,281.3,285,263.4,268.8,273.3,264.7,280.8,256.6,271.1,267.2,198.8,188.3,197.7,216.1,222,200.9,195.1,211.9,198.8,201.2,-0.41,-139,0.01,2
District of Columbia,53.4,50.1,49,50.3,46,45.7,42.1,40.9,39.2,31.7,32.7,28.9,29.8,29.2,27.5,23.5,25.1,26.3,25.3,23.2,21.4,23.1,-0.57,-30,0.08,2
Florida,391,393.8,375.9,373.8,362.9,353.7,344.8,340.9,324.1,311.3,307.9,297.5,296.4,316.9,300.8,290.4,283.8,283.5,277.2,265.9,256,250,-0.36,-141,-0.02,-6
Georgia,477.5,448.7,425.9,430.3,406.7,415.7,412.9,407.2,416,405.3,409,389.3,381.8,397.9,356.8,307.7,299.5,300.9,285.3,274.1,258.4,251.8,-0.47,-226,-0.03,-7
Hawaii,337.1,346.6,336,333.4,344.2,354.5,353.2,346.2,336.6,331.5,339.2,270.8,275,269.6,271.8,258.8,250,248.5,242,236.4,221.4,226.2,-0.33,-111,0.02,5
Idaho,373.6,363.2,351.8,331.3,338.7,318.2,297.1,305.2,285.3,274.9,278.2,260.3,265.9,276,273.5,271.4,286.8,271.7,284.3,280.3,274.9,269.6,-0.28,-104,-0.02,-5
Illinois,390.1,361.8,365.3,362.7,347.9,349.7,351.1,352.8,355.4,334.4,341.3,345.5,331.8,333.3,325.9,301.8,318.8,318.5,290.7,274.2,269.6,273.3,-0.3,-117,0.01,4
Indiana,934.7,884.8,880.3,902.1,879.5,869.8,860.3,829.7,823.7,799.7,777.2,765.3,740.2,738,709.8,657.5,662.1,659,600.8,578.6,551.8,580.6,-0.38,-354,0.05,29
Iowa,647.8,676.4,671.9,650.6,649.7,637.6,609.6,578.8,562,563.4,574.1,611.7,592.4,606.3,579.4,518.3,528.7,508.3,459.5,440.8,455.4,480.1,-0.26,-168,0.05,25
Kansas,681.9,649.5,666,665.7,629.3,664.3,668.9,641.4,590,560.6,589.3,538.2,546.6,538,510.9,469.5,496.3,487.9,439.4,415,386.9,403.9,-0.41,-278,0.04,17
Kentucky,963.9,917.3,916.4,949.6,961.2,942.6,898.5,907.9,892.9,882.6,892.9,877.8,852.9,873,856.5,780.7,764.6,769.4,711.2,680.5,622.6,645.5,-0.33,-318,0.04,23
Louisiana,1100.1,991,969,1087.3,945.5,970.8,916.3,917.3,835.4,869.5,905.2,910.5,838.5,860.1,921.8,876.1,874.5,843.3,862.7,889.5,913.8,889.1,-0.19,-211,-0.03,-25
Maine,459.6,439.5,441,460.6,454.7,473.8,457.2,448.5,431.2,391.7,388,353.7,346.4,336.2,330.6,299.4,316.2,311.7,313.3,299.2,277.1,260.6,-0.43,-199,-0.06,-17
Maryland,326.4,322.8,320.9,309.2,296.5,285.6,288.9,277.3,271.8,250.8,251.6,236.4,226.7,214.1,195.5,181.4,179.3,184.4,175.2,164.2,146.8,161.3,-0.51,-165,0.1,15
Massachusetts,283.5,266.4,245.5,229.6,227.3,228.3,226.4,216.4,216.4,192.6,195.9,186,172.3,169.2,156.5,138.9,147.5,140.5,139.3,133.7,130.4,124.7,-0.56,-159,-0.04,-6
Michigan,483.7,471.1,464.6,443.9,449.3,435.9,420.6,425.5,424.2,405.9,412.7,421.5,433.3,412.6,389.3,366.2,382.3,375.7,366.7,336.6,334.4,345,-0.29,-139,0.03,11
Minnesota,432.1,411,400.5,397,384.7,385.4,384.3,366.5,360.7,351.2,355.2,350.3,335.3,323.5,316.2,295.2,298.8,307.5,281.1,280.7,273.8,277.6,-0.36,-154,0.01,4
Mississippi,669.5,664,703.5,695.3,803.2,710.5,700.8,702.5,672.8,675.9,680.2,619.6,609.3,654.6,613.7,626.6,609.3,639.4,650.8,685.1,672.6,676.1,0.01,7,0.01,4
Missouri,550.1,559.4,546.6,510.4,533.1,532.7,550,540.5,543.3,532.4,526.6,502.2,491,498.1,506.3,473.4,488.6,484.9,444.7,429.4,445.1,434.8,-0.21,-115,-0.02,-10
Montana,995.2,1005.7,1017.1,975,1003.5,926.3,957.7,962.3,947.5,917.2,909.4,896.1,826.7,850.4,761.5,721.3,746.8,744.9,715.6,693.1,681.6,665.1,-0.33,-330,-0.02,-16
Nebraska,581.1,596.6,567.6,544.9,550.2,534.6,519.6,505.8,494.2,486.8,479.8,500.6,505.5,511.7,513.4,496.6,512,489.7,461.8,440.3,426.8,462.5,-0.2,-119,0.08,36
Nevada,421.7,429.8,408.9,432.1,420.2,378.1,378.8,372.1,358.6,286.1,289,294.8,310,292,261.4,269.9,284.2,286.8,260.5,263.5,254.3,253,-0.4,-169,-0.01,-1
New Hampshire,343.6,323.4,317.2,308.7,295.3,299.1,340.5,346.3,331.1,294.5,292.2,288.5,265,250,243.1,215.2,208.1,216,212.6,188.8,182.5,187.4,-0.46,-156,0.03,5
New Jersey,288.3,273.5,273,258.6,251.2,245.9,242.5,243.8,250.3,231.6,244.7,237.6,214.4,220.5,223.5,199.3,205.1,215.5,208.5,205.4,188.3,194.7,-0.32,-94,0.03,6
New Mexico,829.1,826.7,798,808.8,810.1,746.4,747.9,709.8,708.6,697.9,682.9,657.4,655.1,613.3,640.2,613.3,616.5,563,552.2,531.5,538.4,486,-0.41,-343,-0.1,-52
New York,209.8,204,195.8,194.6,185.2,181.7,191,188.4,179,159.2,164.4,159.8,140.7,137,129.3,121.3,122.9,125.9,122.2,117.8,111.7,116.8,-0.44,-93,0.05,5
North Carolina,453.4,437.9,410.1,420.9,399.4,398.9,393.4,387.4,380.1,345.2,355.6,335.3,312.8,331.5,294.3,277.2,281.9,281,258.6,254.3,239.9,240.2,-0.47,-213,0,0
North Dakota,2121.7,2059.4,2101.7,2082.3,2082.6,1965.5,1839.3,1768.5,1818.8,1691.6,1673,1562,1481.6,1399.4,1293.2,1103.1,1090.6,1048.8,1054.8,1076.5,1114.4,1120.6,-0.47,-1001,0.01,6
Ohio,551.6,530.4,516.5,521.4,507.3,507,514.8,494.4,500.8,489.4,496.3,486.3,464.1,476.9,439.5,400.5,419.3,407.3,368.7,355,348.1,345,-0.38,-207,-0.01,-3
Oklahoma,855.5,824.4,806.7,804,786,774.2,779.6,725.3,745.8,720,702.4,693.5,666.9,665,651.9,604.1,583.6,558.8,515.6,511.3,490.9,498.9,-0.42,-357,0.02,8
Oregon,302.5,331.1,331.9,297.2,297.9,280.5,272.6,266.7,259.6,240.1,255.7,245.8,245.1,240.7,214,211.5,222.7,209.2,198.5,188.8,185.8,182.7,-0.4,-120,-0.02,-3
Pennsylvania,556.5,520.9,502.9,514.5,483.3,490.9,487.1,478.7,476.2,463.2,452.6,430.8,402.5,410.7,393.4,370.3,379.8,370.8,338.7,315.7,314.1,311.2,-0.44,-245,-0.01,-3
Rhode Island,339.2,332.4,306.4,259.2,267.7,246,233.1,212.1,214.1,196.6,212.3,211.3,223.8,213.9,215.3,204.1,194.9,204.1,205.1,183.1,190.6,208.7,-0.39,-130,0.1,18
South Carolina,529.3,529.3,527.2,538.2,520.3,518.8,505.2,541.4,519.1,509.1,498.1,486.5,476.2,492.1,458.6,417.8,392.5,406.1,383.6,367.9,345.1,355.4,-0.33,-174,0.03,10
South Dakota,531.7,485.8,489.8,483.2,453.8,419.9,408.8,394.6,371.2,368.1,365.8,378.9,372.2,377,342.8,346.2,355.3,351.5,314,327.9,321.4,335.6,-0.37,-196,0.04,14
Tennessee,580.3,540.3,527.1,546.5,537.9,518,496.1,479.6,475.4,470.6,474.3,444.5,389.3,412.5,387.6,352.6,343.9,356.8,332.5,335.4,315,294.9,-0.49,-285,-0.06,-20
Texas,765.2,726.8,678.7,677.4,656.6,655.8,647.1,614.6,574.8,536.9,509.7,486.5,458.7,476.7,475,443.8,446.7,436.1,413.3,414.8,412.4,409.8,-0.46,-355,-0.01,-3
Utah,756.2,740.2,697.9,704.5,671,651.2,646.7,638.5,615.7,576.3,565.2,563,536,518.9,507.4,479.7,509.1,481.1,450.3,400.6,384.6,380.3,-0.5,-376,-0.01,-4
Vermont,323.6,302,297.1,292.8,278.7,259.7,260.9,264.6,253.1,246.2,242.5,216.1,228.5,209.5,202.6,189,202.1,206.9,213.1,202.6,199.6,198,-0.39,-126,-0.01,-2
Virginia,365.1,353.5,343.8,355.9,337.2,329.7,328.8,324.1,311.6,289.8,299.9,274.2,248.4,249,226.5,220.2,235.8,234.1,227.3,228.7,213.1,216.4,-0.41,-149,0.02,3
Washington,278,263.1,245.5,250.1,255.5,230.6,232.9,232.5,220.9,205.8,208.6,197.5,196.9,192.7,176.8,170.4,177.9,168.2,165.3,171.9,164,154.1,-0.45,-124,-0.06,-10
West Virginia,1876.6,1905.6,1856.7,1852.8,1680.7,1869.9,1816.4,1739.6,1724.7,1702.3,1733.9,1637.3,1334.1,1479.3,1415.2,1337.9,1356.1,1443.2,1331.1,1384.9,1311.2,1259.4,-0.33,-617,-0.04,-52
Wisconsin,494.9,467.4,467.8,463.7,448.5,444.6,424.6,420.8,423.5,386.7,391,397.4,374.2,372.4,361.7,330.1,366.6,359.8,349,330.2,335.2,336.3,-0.32,-159,0,1
Wyoming,2334.4,2469.7,2325.3,2284.5,2174,2087.6,2101.8,2036.8,1918.4,1714,1653.7,1575.1,1545,1646.2,1633.2,1733.7,1786.3,1700.5,1608.4,1607.5,1649.9,1674.6,-0.28,-660,0.02,25
Average all states,484.4,465.6,448.5,445,432.3,428.1,420.3,412.1,400.2,383.1,382.1,370.5,352.9,357.2,343.3,321.7,324.5,320.1,302.4,292.7,284,283.6,-0.42,-201,0,0