State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,2034,2300,4048,5567,6805,7670,12282,11889,17636,42940,64045,68045,75032,63703,63188,85175,90571,116859,145025,157236,153805,122214,237881,239678,258039,214042,208311,251512,288798,321207,326826,367952,383887,375971,367592,432813,443629,425394,434437,422817,437972,413049,420808,415891,407944,434704,375719,372186,343938,343971,334978,339819,347228,332631,329274,333936,330883,343899,346255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,190706,191533,201250,211348,230316,236949,240755,262055,296690,310822,307750,294838,287100,279958,282454,271747,232758,248715,244969,291485,278342,281022,253391,229993,239598,227780,210226,214611,243192,253577,252128,261476,287947,302250,299250,332399,337764,337431,341973,349076,368472,344004,389965,360483,391927,363398,402044,430649,414260,466272,544405,609288,677380,625869,650570,701582,715033,681236,770909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,222202,215311,235477,252846,278852,277661,289632,295756,321569,349990,383478,334979,317640,327475,290102,257445,248194,234379,220898,255010,273987,265043,227389,211726,214432,199350,202982,172340,218787,251139,234465,212680,226598,232682,247187,271956,274991,264019,272888,257666,256114,231590,247899,254571,217921,216600,240885,229610,238424,248100,274774,288906,300572,288045,273009,296826,315617,317543,366948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,140275,159093,163461,169533,174623,166063,174448,169085,189965,210332,204383,225898,241355,226325,204955,164346,180181,176449,186366,180580,173970,192208,142323,120418,126844,137315,105103,121301,128594,151468,130781,128178,133771,118159,139733,127945,125265,137588,161086,167770,208137,244424,255247,275650,356264,329302,365230,401992,409966,377504,336208,293134,339043,340375,315916,365313,373916,334605,400563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,1301826,1400174,1483423,1623370,1817241,1813213,1982305,2048734,2187260,2189883,2241295,2265324,2303562,2154045,1937140,1937322,1849711,1864187,1646333,1900357,1890887,1947370,1765171,1601037,1739833,1925459,1591045,1992956,1860391,2047845,2101602,2208285,2294135,2213111,2334777,2109956,2017680,2185029,2418688,2379558,2456438,2513856,2318656,2317062,2462247,2304463,2375929,2467545,2472612,2391374,2325411,2196252,2456371,2480792,2409574,2384061,2248939,2190612,2207425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,194963,210872,202310,180366,205251,204483,207693,210209,253481,268895,274987,281846,301651,311694,302725,280996,276287,253994,234600,260824,244771,201432,216115,207120,220950,209799,190320,201536,218567,240556,232296,268787,259036,286366,272152,288383,315855,311900,328897,330896,366094,464062,457708,436873,440720,478520,458911,512841,508491,525999,505628,477208,456471,480875,497182,490642,464749,462123,519591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,29449,31424,33355,35575,38627,41720,48744,50826,54053,58405,61543,62417,65032,63548,67139,64331,66382,64709,66038,68752,74033,77126,79253,76286,83245,80208,80962,94504,90697,101745,108843,115683,126132,125793,134374,144867,139102,148585,134891,155870,163696,149344,181665,157252,165862,171150,175870,183604,169802,188570,203814,236016,236260,240102,242227,260925,254652,246533,285989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,12951,13721,14742,15335,16266,17315,17611,21923,22957,25229,26402,27663,28976,28177,27559,26210,29040,26212,26551,30129,27950,29428,29731,29633,29802,29336,29972,31422,33079,33757,29095,31287,33187,33325,31188,33201,34213,34826,31235,32964,34377,30577,33688,33700,33097,33753,29775,33856,32774,34339,33717,33389,29389,33725,35302,33654,30160,30601,32609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,9351,9708,14999,17082,17826,18742,19845,21948,25069,26949,26949,26981,24569,23408,20772,18975,19662,16261,21263,25758,30783,31576,28694,35491,43852,39443,33594,37254,29928,35883,35620,38967,37201,39346,47255,62738,55934,48140,42322,58089,50175,51817,53782,47971,49722,48639,44787,49932,49749,51651,56086,81710,104421,100682,107051,107819,113552,103121,99416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,142900,148894,162843,179441,189595,191669,220568,234326,286653,326855,350626,350527,311235,324892,302002,292139,300867,315950,333306,357014,329567,357470,339099,321009,318172,305057,298928,313553,305758,337182,341993,360992,371137,368011,417702,579310,561145,547201,529565,583448,574460,569757,708638,714826,757672,805446,917468,943845,970038,1081725,1180462,1235953,1348390,1245287,1241250,1378089,1414358,1421277,1511073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,188460,186255,199380,195667,215579,219774,243089,265271,295289,324940,342834,353199,341408,358532,339589,335376,268375,271811,286035,324478,325263,325103,303335,303129,315287,289572,286490,311055,330859,325560,319199,331599,351369,359989,351897,383385,393417,381712,378549,347107,421262,362643,393127,390760,406436,427825,433920,455220,436093,475240,540943,531596,624338,634635,664808,712580,727336,709694,759332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,76,134,140,137,155,195,179,173,148,167,161,158,187,197,167,196,162,163,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,193688,211826,221026,220538,244609,249988,244028,278580,303746,325026,351800,347740,347617,369016,371639,348564,313917,281367,238754,292191,270333,253927,238917,223581,238314,191609,163616,157888,196345,178635,172149,188083,179626,196652,198503,210496,223127,208360,184856,201472,203042,193445,194041,197629,198017,210742,207162,264166,297357,283990,278751,277576,266283,306419,311352,302936,317115,376297,431454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,22776,24808,26709,28366,33014,36092,38992,35929,40387,42389,49411,53152,60084,59296,55285,63776,49843,48269,46570,56792,51646,48107,42849,36833,40341,41115,35450,37780,41551,46904,46786,52741,50382,58294,59069,65687,69191,70801,71912,73361,74518,81804,73482,71754,78273,78118,79041,83904,90550,87072,85075,83947,90339,107089,93610,107871,110344,115899,115832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,536127,576551,624035,655743,737326,778662,868621,979649,1027219,1121210,1203225,1260009,1237471,1176722,1175830,1123588,1204616,1199778,1196435,1170615,1076174,1053097,996628,956269,1056089,979924,920227,873837,972786,1007747,951868,999478,1003295,1043124,1038608,1093289,1136534,1095556,975542,1011875,1040261,958425,1051213,1001534,955972,972710,896138,968652,1003219,956553,962240,986310,939024,1063511,1108134,1011357,1045034,1034628,1127462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,219758,248273,281781,297815,333685,357502,399896,434632,454467,531512,548640,570398,580410,541215,530276,472567,420969,394286,436149,499345,482288,487854,471776,425164,451395,433689,396365,412377,459359,465877,456002,460594,485267,521235,523523,538395,576285,559146,527435,558192,576102,505274,538368,566838,526391,535512,499753,543800,555489,511289,577423,635117,654528,680051,723942,735055,779945,747918,890423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,373664,364020,373666,367759,391306,440802,481093,446454,490591,540660,574542,605775,626853,597207,578795,490748,505408,497279,507973,571266,481990,422564,400519,345858,360762,354756,307990,343155,347982,338559,352645,373151,338755,386513,415552,367750,360921,338569,325041,302023,314868,273862,307432,284722,260117,258695,269274,291695,292523,292425,280413,285318,268086,288274,291483,280421,276404,279095,321378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,153807,156328,163826,173508,179666,176734,152219,197083,201137,240050,252265,248514,259546,250136,231423,209199,248673,221936,215021,220854,204062,202235,191042,177528,193323,177681,173524,178271,190884,195826,191704,196251,200899,213053,221269,245572,248009,239307,212107,225390,234171,216705,236124,231384,233361,240853,217166,235876,233165,214261,239057,229048,232701,235703,262278,276867,279935,296673,356460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,1003771,1064610,1050301,1128773,1201445,1156449,1245597,1440390,1539750,1784110,1894224,1938558,1996015,2072164,2068614,1854766,2121366,2274100,2349710,2051384,1862179,1847639,1629186,1472328,1661309,1441820,1496106,1560707,1506424,1622888,1654692,1596766,1619499,1637028,1649015,1737257,1687569,1857072,1679040,1558295,1625863,1347228,1475464,1353179,1393140,1367497,1346690,1430621,1369823,1315265,1482948,1535704,1585876,1504969,1547175,1594208,1718303,1720323,1860683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,80612,84630,92131,99924,108193,115712,117709,129884,133913,138632,149074,158329,162204,157258,156666,154583,157185,161465,161964,157883,169897,165351,181781,185610,208279,221026,188754,231953,216402,260271,273581,283708,344350,350562,381130,391216,386953,411405,367039,361211,357716,364097,404456,414970,383625,386339,378026,418907,415247,408509,447428,464018,430920,435312,432523,457124,440725,462410,452631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,73315,76520,84796,89004,94255,100979,102826,121287,129702,147720,159584,164689,180283,177629,175541,141854,149642,135168,139642,179631,162955,177238,159832,148327,162784,155581,157872,174143,177667,198687,180566,182961,189963,186562,190998,198577,200827,219008,195457,202525,219031,184783,203489,204345,201801,211830,189179,208439,202744,203604,217625,199132,216558,206126,217227,225969,229508,232718,312989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,0,0,0,0,0,0,522,775,819,1139,1315,1475,1554,1657,1635,1976,2083,2047,2166,2162,2162,2288,2686,2475,2528,2620,2549,2747,3283,3930,4572,5001,5333,5191,5268,5538,5821,6470,5789,6646,48041,101190,126275,73517,89581,64818,67557,67227,74494,73569,80988,75061,70451,65886,62423,54203,54509,45125,48370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,382980,422582,459179,470503,505780,563563,626782,699131,711046,788222,821261,863320,877742,929555,942595,894795,895140,745743,793936,880367,874651,811399,762073,710144,727492,717041,686621,668667,763254,797304,879335,889956,964201,924909,917002,970995,1017096,987593,871603,947027,971656,924496,984715,950714,938628,927535,816993,814887,797534,750783,758696,787337,804084,831741,878128,871834,926828,908204,1010794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,186121,199324,221625,218609,236502,248244,265810,285350,315017,328944,343007,352144,352111,360450,351995,331518,319516,292501,312196,332631,284941,264845,263011,246314,256402,258499,244526,239750,285439,301369,291771,318200,312165,331511,327091,357493,374298,360264,337078,351078,367359,344882,374171,374189,362346,372082,358198,395658,435086,405516,427186,424958,430277,478611,490111,448557,466365,466879,514487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,270074,284094,299614,309136,332023,347967,357396,367195,372856,406671,432532,432108,428192,424673,411933,371837,381399,367704,360269,340138,322842,287706,282312,264229,269127,263961,244317,234492,254438,252657,241335,258636,241227,280680,267762,281056,296414,285391,261463,269052,288058,288586,278873,265133,268289,273386,257924,277919,298421,266711,282123,275308,258945,281399,301368,270885,273583,264611,329827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,187874,190591,199391,222937,250528,250626,284500,288650,319377,333993,369391,387779,387436,321528,283104,235345,203702,202631,208038,260547,270909,249062,276666,244281,276617,233010,220195,212336,216397,232394,261921,257004,250696,235310,266219,295377,277468,264210,252445,317777,312078,340904,354550,275147,290512,310713,315909,374990,364237,371245,444875,437873,499946,426902,439557,536996,561342,543533,591361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,57638,61314,65680,66566,69486,70795,72116,64908,62835,78205,90601,91096,87020,93117,81667,81190,75412,71595,72686,69114,61453,53029,52782,46619,47098,47312,41148,39561,42872,46671,44378,46719,46615,54265,53315,59571,63251,61699,61398,63624,69590,66483,70992,70048,68567,71089,75135,75077,77645,76635,72888,79470,75234,82298,80063,77443,77589,83319,90776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,47032,52291,58346,64539,70932,78245,89442,100822,117794,140204,154856,164420,167831,165215,143722,116889,102996,73905,83695,133751,155149,154283,146759,141025,148682,138331,140256,153261,156550,166835,166744,172818,186902,192526,195303,212010,222106,223419,222659,224741,240727,215600,243143,227387,232214,237525,230169,244475,249654,252729,308710,311189,367948,445018,462289,516026,540271,520670,599321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,27356,29310,32045,32283,33390,32437,31864,32049,33317,32944,33731,34618,37604,33206,35530,36862,41177,37650,39067,29236,23830,35457,29003,27302,22888,25551,21367,20616,25018,25922,28045,36122,32147,36274,39325,41663,45716,53699,45753,53404,53421,57334,61592,56088,56410,49643,50007,56842,60480,51921,64263,72247,71873,82334,89095,100852,105625,112146,130509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,140430,144566,149324,145771,160545,164719,195864,187907,202938,209613,224114,225463,226358,230780,223253,217521,197442,188426,162693,168959,159483,133481,135550,124993,129488,121224,101872,105571,117991,116612,106854,111956,103220,122210,123981,133675,133525,132007,131114,121364,127260,124051,121174,119741,116006,120125,131424,153490,172858,165418,169608,173657,161770,179617,179705,170346,172929,175611,196439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,2952,3124,3431,3607,3817,4133,4197,4522,4208,5826,6796,7658,8015,8120,8391,7707,7919,7617,8204,8699,8874,9709,9686,9522,10116,10393,10197,11840,12830,13606,14265,14098,16907,16932,19813,20046,19295,21146,19233,20383,26207,24757,26077,56415,63829,72934,64644,64856,74025,62049,62612,72778,74336,55649,58785,70742,59638,53633,51471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,144132,159189,180307,197097,209714,219196,236816,261542,278430,316113,331247,335264,329642,309709,282201,251669,332467,255522,236852,269934,341149,391491,377216,407751,419435,375320,350584,418223,409818,468254,447829,495053,625894,651646,706021,713123,718698,735341,696034,737575,617898,573040,617094,635689,644467,625429,566724,640236,634694,638324,671005,677521,670827,711999,805145,778866,793928,734148,799551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,207301,218948,247090,239911,226697,224253,247390,280382,286329,276591,292522,291726,311897,274018,273397,255637,294878,242912,225451,223092,231330,205433,213347,184595,169781,162312,144532,164588,185246,205131,251470,227349,211096,224999,221479,219476,233557,261881,241406,231312,259018,259626,229691,225220,229164,225352,227661,239858,252831,247947,246201,251838,249815,252867,256056,260038,259158,249354,281230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,12883,16419,18141,20681,25579,29395,36305,36822,39177,46700,56868,71965,75223,77967,67689,65355,71205,74534,66305,85539,62016,78744,49889,44691,44747,41626,35772,41694,48338,65538,66759,68175,81193,87493,104940,112502,126894,135497,154656,159981,194126,181256,181010,191050,221648,236007,257595,262547,274915,284007,267808,255970,281432,282245,261902,312602,316653,305292,310839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,434127,450630,491055,520712,527890,558658,645684,602670,653282,698046,725813,731597,707277,703023,641925,585536,604276,567877,576482,633562,752573,770856,790695,738159,809500,782888,749210,801487,812385,869652,894964,916539,1032726,1021481,1094082,1293868,1229479,1357187,1266346,1308185,1278811,1204885,1227223,1131344,1126597,1107206,1120196,1214349,1205137,1166614,1224484,1247757,1260950,1315282,1392378,1396693,1336455,1276946,1393724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,724824,746456,784630,826138,852659,909391,975841,994595,1018464,1063953,1077151,1112130,1174203,1131760,1114904,978885,1031075,867837,950973,920390,841059,818902,770419,708534,768864,739854,744329,747082,837475,847953,775706,798398,838235,864580,871347,923007,966665,936758,842630,871913,926922,836825,862453,877891,862397,860874,770872,835555,823457,770759,810593,848771,869556,945731,1058802,1031716,994162,1014287,1211864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,319270,316051,416403,490988,522805,480079,449319,460163,507884,558754,616279,631152,649909,625808,681130,678851,770752,787694,788658,844294,738931,694455,692328,655366,669277,603855,570749,617551,611171,620318,628222,589960,565655,600099,595671,586432,587957,573479,583964,550768,546706,505220,522530,556306,555273,600011,644381,677472,711379,681062,697351,676910,712411,682277,667360,711393,736164,692388,834567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,31941,35011,39190,46731,57979,59990,69324,73999,83504,92598,99572,105437,115326,114331,102365,114184,95830,75567,90025,97905,82324,78887,73916,69791,81467,85486,72523,82487,89162,111807,111724,127778,127163,141796,152929,152111,188209,193771,239269,246996,230962,235634,206808,215102,238049,239539,229731,260240,274659,254837,242914,203607,220578,244265,226472,245897,249829,262537,271310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,540094,547651,568742,609513,632666,652906,702888,701546,741600,791217,797877,828583,856316,811496,732721,670085,731356,682372,688256,756079,789585,791190,708310,658671,699645,646711,631709,658802,692470,714659,680468,666938,717188,731693,738865,761428,770927,730639,667150,713447,727214,668960,700472,717461,723189,719117,684695,780090,778251,839453,909259,1000507,1079495,1175535,1304080,1313350,1354340,1404220,1513152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,12253,13227,14277,15343,16145,17036,17385,19251,21574,23503,25620,26201,22966,20888,24090,23453,20966,25964,23339,27526,27948,28873,28134,29445,32535,30725,26931,36824,31217,34628,40399,77996,117757,76502,112094,103499,127144,120513,134033,120719,91787,98571,89824,80339,74352,82460,78517,90259,91220,94877,95710,102465,98435,88274,91374,96514,88471,94728,104745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,60581,63060,73118,78478,82101,90513,100873,104561,132104,145896,164305,160638,148156,157128,135291,125900,152416,141633,121336,121479,146846,145000,100978,104301,111184,100109,101474,108597,115146,119649,134089,137393,141758,145591,148708,155957,153883,158673,164881,167960,165026,147167,190714,151904,169518,178308,181895,182201,175858,197419,225961,235465,250481,236942,236040,284013,284225,285627,336824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,25392,26724,28372,25084,27528,26884,28256,27846,28959,33995,36464,31959,34214,31283,32044,32534,39168,36097,35395,25611,24020,22076,25014,23582,24862,25454,23409,21361,24701,25922,25446,26730,27035,31708,31228,34738,37342,36772,33370,36004,38117,37035,41532,43868,41757,42848,40861,54099,65453,66317,72926,73973,71501,84527,83919,83370,85021,85339,95547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,151740,166703,173967,179197,191178,211142,236752,241965,243425,257524,261784,270841,283375,300079,265374,224065,218483,208401,189201,233860,233323,227063,212041,199046,211280,196698,194003,206963,220847,228488,227522,234594,249234,263147,253995,264854,289307,291824,287443,286363,280666,265461,263690,265806,238761,238400,230047,229520,238441,223019,263365,267929,281007,284750,313887,322468,336341,331634,403547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,2815483,2831993,2959563,3044428,3040492,3181456,3404262,3638596,3836859,4024717,4203877,4482576,4531777,4746155,4584002,4046930,4074690,4254885,4329773,4131399,4226105,4052341,3503024,3335505,3556196,3514363,3312909,3435408,3665182,3886107,3876543,3823075,3768323,3925163,3885072,4037538,4268665,4231566,4377957,4138068,4550106,4382935,4444506,4177143,4039787,3621139,3544789,3626526,3653462,3481133,3689581,3800578,3964124,4131225,4060591,4263856,4151067,3992170,4564089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,72441,79168,87938,88494,99071,99810,95740,97068,101626,110888,114377,113876,116399,116335,115206,117952,138603,100999,113322,120980,124990,109703,110526,118449,124247,123750,99706,106906,117778,123414,126913,142458,132362,149255,146416,166860,168059,172248,177960,169255,173439,167582,172366,163527,164154,168770,197894,231125,237414,223646,229078,230672,232630,258661,251649,242848,250199,231145,253522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,68431,73034,79884,86240,91963,98615,125287,119364,125708,132739,140072,147758,159705,156669,146811,123625,125855,120734,136935,136958,160886,154925,154574,146846,148534,144466,146586,165106,169565,180403,192022,188469,220950,248412,260366,283873,269837,259571,271387,287144,277688,246406,266853,272055,285607,311537,283456,331018,310647,330369,385768,383436,424000,433438,438697,526314,572103,596663,666852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,0,0,0,0,0,0,906,1374,1674,2391,2679,3066,3817,4212,4785,4005,3700,4025,3819,4398,3951,4352,4340,4324,4829,4958,4954,5113,5494,6064,6678,6982,7570,7221,7274,7259,7461,8309,7827,8128,10545,7909,8399,8441,8708,8396,8062,8874,8665,8679,8501,8677,8287,9743,10853,12245,12383,12300,14226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,67207,72805,84281,93433,113935,116216,124827,135245,148065,153481,158242,165279,179823,207952,191311,171236,154881,149077,133338,165950,135451,131176,114396,111791,131958,139974,121783,136071,150514,167828,167430,179237,180583,229613,263176,264474,283909,268141,303307,302262,297569,322413,240494,255839,269572,272167,271034,279429,307085,319739,294871,272261,271947,327840,320167,327738,324929,350870,334776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,93792,117658,141294,156163,173946,204093,229393,253737,278560,324186,344241,354746,326921,373480,386865,372097,320512,354397,375286,372258,354670,327529,315738,301789,307510,311434,281636,281599,319681,332744,311236,333844,334867,352381,360440,385340,408079,404955,372061,385142,397553,363022,388007,397869,385999,415583,376559,403947,415109,392485,376627,399247,410305,454050,479396,476969,501042,504796,565280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,155554,168291,159207,163925,172374,176111,179195,157423,189957,176295,186535,183553,204916,191905,186565,164297,157204,150605,156607,152059,147624,154468,136141,120214,130959,125018,121128,123734,131544,139427,129005,118823,137666,144246,155098,157816,164286,170349,151873,147675,157926,150543,155536,135367,129358,124984,126316,124555,119617,118643,121780,124935,140133,152880,180222,191059,188491,199299,222889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,52828,59326,61189,55041,55437,54805,62891,69619,75649,96068,112526,117938,128728,110445,95363,81434,82478,78354,79758,87157,72982,72895,90586,85247,89666,86031,78424,86042,86422,86716,101316,103129,130703,110499,112252,103848,107588,107907,116505,101660,105975,103990,117387,120433,111878,112863,112929,145985,147129,147220,154759,161776,158546,156110,142268,126421,132478,158373,174859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,12385366,12926392,13730841,14419107,15297642,15779457,17005781,17964988,19204569,20657964,21692710,22365248,22682497,22595346,21729561,19977076,20381227,19972477,20067662,20687615,20226934,19749623,18367053,17212020,18389567,17713531,16603236,17646792,18460278,19607316,19627801,20033047,20723809,21255357,21757307,22720621,23151345,23372324,22911552,22925260,23815293,22747645,23513541,22822564,22927283,22567132,22225318,23670821,23836273,23421003,24568039,24953771,26075691,26788768,27376838,28179686,28392790,28063215,31086360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,