State,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AK,42262,41157,40722,39517,40974,42881,42150,43735,45052,48517,51114,50884,55838,54151,54646,57670,54750,53273,53799,52711,52727,53092
AL,143646,148596,154094,156560,156404,160870,164992,175508,181386,184796,185869,185298,178021,182263,185055,186299,188165,186849,189339,190703,193024,198436
AR,82756,84794,89317,90206,89923,92885,96545,101210,104653,106940,106155,105791,102528,105922,108295,108745,111779,112932,113861,114541,115347,117294
AZ,168550,183138,198096,207793,212656,219311,233342,243246,263061,277288,284907,277477,255081,257485,263211,268289,270149,273677,280230,289230,299406,311706
CA,1378654,1470393,1582377,1709939,1702776,1743651,1825424,1902319,1990141,2072177,2103618,2111138,2026487,2058138,2091586,2144497,2220868,2312540,2428598,2500950,2610682,2721651
CO,184193,201076,216300,232752,236383,236786,238540,240798,250840,256124,264577,267713,262380,264791,268681,273520,282534,295699,309180,316752,329574,341077
CT,190791,196248,202230,216370,220287,219959,222240,237133,242485,251581,261129,259722,248041,247461,242020,243801,241081,237784,242911,242794,243682,244926
DC,79626,81190,84658,85265,88506,91195,93025,97798,99955,100242,102956,106747,106351,109964,112008,112736,112678,114910,117238,119567,121011,123982
DE,45231,49743,53862,56109,58882,56814,57957,60682,59974,61497,61235,58656,60404,60016,62017,61976,59157,63500,65876,63109,62740,62765
FL,560888,590135,616625,642693,658640,685304,715436,757054,806339,834346,835867,803218,758264,766199,763746,769309,784090,805278,839124,866731,896117,924873
GA,328994,352713,377608,393195,396875,400092,410588,429314,445533,450584,453061,443416,426264,433027,439890,444132,450772,465646,481576,498267,516594,528999
HI,55679,54360,55182,56417,56019,57912,60838,64928,68566,70403,71192,71689,69095,71006,72080,73583,74278,74529,77185,78905,80716,82652
IA,113365,114230,116662,122159,120669,124097,129316,139749,143876,145887,152251,149132,145618,149536,151248,157251,156637,165088,169375,168876,168434,172072
ID,37015,38791,42496,47324,46062,47208,48536,51241,55387,57590,58703,59704,57088,57907,57797,57764,59831,61394,63098,65535,67818,70500
IL,577804,595833,617315,641749,644181,647868,655835,673262,685897,704494,712710,699430,682966,694961,707060,720702,724616,735036,744518,747168,753638,769801
IN,232247,246380,254489,263693,258661,265106,275194,284656,285492,291269,299423,298264,277474,295133,296472,297553,303920,313740,311601,316636,322746,329299
KS,104770,108508,111201,113972,113853,115552,117478,117882,122258,128899,135667,138658,133277,134945,138563,140478,140506,143425,146173,149928,151466,154583
KY,146958,151551,156261,152118,151921,155676,159180,163436,168805,173337,171869,172151,165015,172045,174136,176302,179390,179989,181323,182619,184541,187216
LA,201830,208683,212955,206685,209046,213146,221240,231602,245523,243332,234620,235276,238666,247351,234063,233623,226616,233676,232458,228252,231373,237372
MA,302806,314880,331705,359521,362434,364797,373814,383487,390792,397743,407974,412600,408062,424581,434724,444330,444866,453884,471135,478961,490840,506073
MD,221184,231831,240910,250982,260776,270885,277950,292115,305993,311680,312093,315859,314863,327234,334307,334822,334939,338734,345230,356818,360030,368860
ME,43035,44233,46393,48524,49419,50633,51728,53530,53612,54270,54001,53921,53064,53776,53088,52874,52505,53418,53780,54971,56189,57450
MI,397339,406293,429356,438277,423624,435250,443795,444198,450746,443308,441148,416702,380091,400941,411466,418857,424320,431511,442482,452269,459129,470529
MN,211942,222971,230684,245982,246058,252414,263869,274713,282094,281970,283212,285792,275453,284864,290630,294297,300633,309239,313086,319130,325323,333920
MO,228293,232074,238361,246049,244407,246813,251788,257259,261530,263233,264382,270608,265310,269735,266726,268762,271902,273170,276700,275500,278192,284924
MS,83197,85333,87647,88143,87200,88124,91715,93651,95228,97748,100204,104386,99463,99984,98728,99615,99622,100118,100242,100656,101516,102837
MT,29169,30466,30598,31375,31650,32527,33843,35375,37077,38431,40379,40162,39337,40544,41473,42006,42434,43174,44871,44265,45029,46220
NC,316366,326225,344425,354846,361354,366035,374503,388700,407491,432589,436437,446920,427108,433404,439088,439571,445361,455046,469479,475339,485499,497331
ND,22411,23682,23705,24598,25017,26370,27994,28267,29107,30262,31668,34155,35043,37696,41942,51345,52531,56523,54902,51036,51015,52873
NE,70722,72310,73884,76623,78258,79665,84120,86082,88894,91387,93388,93569,94050,97857,102333,102269,105038,107166,110326,110812,113110,114170
NH,48425,51603,53058,56720,57433,59041,61610,63499,64356,65945,65698,65017,64450,66442,66840,67689,68800,69545,71511,72816,74119,75833
NJ,426187,433779,448808,473035,476508,487050,499695,507585,513499,524056,526814,533054,511150,516589,510928,519746,523334,525728,535299,539943,543530,555755
NM,67446,67087,70716,71956,72053,74275,77132,82843,83825,85891,86511,85977,87667,87004,87166,87602,86506,89275,91201,91268,91344,93605
NV,90368,94947,101276,105344,106657,110020,115571,128884,139695,145209,144405,138863,127242,128827,129734,128043,128273,130000,135429,139296,143733,149780
NY,976940,996663,1048059,1088005,1112239,1102140,1104937,1132504,1171051,1199904,1202726,1175471,1223229,1269486,1269245,1322448,1319298,1349268,1372163,1389681,1418942,1435636
OH,471886,487904,499060,508992,501815,514752,522649,534359,543745,541180,541411,537200,509216,521095,538703,540819,550800,571912,580414,585089,594315,605395
OK,115414,117867,119725,124110,128721,131078,133084,137436,143072,152659,155465,161361,159236,159226,165153,173484,177602,187739,195902,190110,191544,196525
OR,118539,124171,126884,137802,136688,139698,145585,152798,158463,167912,171114,173955,166653,169016,173883,174493,175805,181861,191999,200948,208626,216562
PA,495814,508484,523565,537224,544791,550247,562436,578034,588055,592030,612018,623821,605497,622467,631372,641317,651319,666494,681235,689844,693676,711822
RI,40158,41788,43176,45246,45918,47611,49374,51583,52316,53518,52087,50447,50214,51468,51269,51642,52085,52134,53096,53091,52989,53625
SC,134908,140139,146526,150501,151105,154698,160138,162238,166574,170339,175090,174584,166850,170166,174128,175375,178940,183562,189900,195460,201873,207203
SD,24976,26452,27501,29407,29746,32958,33657,35071,35907,36459,38057,39643,39732,40130,42794,43445,43602,44153,45443,45686,45619,46490
TN,210844,223769,230418,233153,232723,240522,247824,259337,264652,271465,268756,272011,263016,266727,274804,283722,286801,291688,301587,308032,313837,323675
TX,872763,928374,965677,998296,1021889,1041811,1048299,1102696,1132796,1210287,1274302,1275774,1271436,1301727,1343791,1411379,1472104,1523057,1596362,1600260,1646264,1712764
UT,80682,85720,89270,92508,93887,95693,97649,102725,109146,118721,124498,123483,120792,123330,127060,128721,131902,136082,141703,147414,153129,158800
VA,301623,317196,332146,346160,358518,362262,376114,393446,415087,423738,427001,425804,425583,437268,441609,444950,446560,445869,454953,456676,464793,477006
VT,20026,20697,21843,23022,23714,24455,25301,26564,26909,27132,26802,27437,26997,28111,28733,28887,28499,28522,28906,29363,29407,29750
WA,271601,289102,310332,312230,305055,310338,316224,322003,343362,356691,378205,382380,372728,381253,387832,400863,411141,425762,444318,459754,483773,511672
WI,209257,217254,226298,233085,236113,240996,247867,256003,262161,266471,267936,264632,257143,264841,270372,274344,276190,282079,287164,290750,294657,301623
WV,59236,60165,62170,62052,62017,62805,62839,63721,65549,66435,66522,67888,67565,68444,69658,69399,70159,69874,69761,68901,69904,71481
WY,25240,25841,26822,27708,29241,29876,30612,31530,33121,37527,40335,42632,41385,39801,39396,38432,38504,38718,39723,38053,37997,38040
US,11521900,12038300,12610500,13131000,13262100,13493100,13879100,14406400,14912500,15338300,15626000,15604700,15208800,15598800,15840700,16197000,16495400,16912000,17403800,17688900,18108100,18638200